Plant,Pincode,Retailer Name,Brand,Measure,Package Type,MRP(RS),Date,Tp No,Quantity(In bot),Invoice Amount(RS)
Dankuni,712306,54 Weston Street C.S.Shop[21/2006/0149],Joy,600 Ml.,Pet Bottle,75,4/1/2019,tCSDR/2019-2020/00000650/P,1800,"1,29,533.00"
,,Angan Bar cum Restaurant[33/2009/0003],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00002407/P,1000,"71,963.00"
,,Anjirbagan C.S. Shop[06/2006/0187],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004772/P,700,"50,374.00"
,,Arambagh FL Off Shop[06/2006/0017],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004748/P,480,"34,542.00"
,,B. K. Saha F.L.OFF Shop[33/2007/0029],CAPTAIN NIMBOO,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00002349/P,60,"4,318.00"
,,B. K. Saha F.L.OFF Shop[33/2007/0029],CAPTAIN ORANGE,300 Ml.,Pet Bottle,50,4/2/2019,tCSDR/2019-2020/00002349/P,40,"1,919.00"
,,B. K. Saha F.L.OFF Shop[33/2007/0029],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00002349/P,320,"23,028.00"
,,B. K. Saha F.L.OFF Shop[33/2007/0029],Joy,300 Ml.,Pet Bottle,50,4/2/2019,tCSDR/2019-2020/00002349/P,160,"7,676.00"
,,B.B.Ganguly C.S.Shop[21/2006/0004],Joy,375 Ml.,Pet Bottle,55,4/2/2019,tCSDR/2019-2020/00001331/P,150,"7,916.00"
,,B.B.Ganguly C.S.Shop[21/2006/0004],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00001331/P,3500,"2,51,869.00"
,,Babnan Pachwai Shop[06/2006/0078],Joy,300 Ml.,Pet Bottle,50,4/3/2019,tCSDR/2019-2020/00002359/P,160,"7,676.00"
,,Babnan Pachwai Shop[06/2006/0078],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00002359/P,1200,"86,355.00"
,,Bagjola C.S Shop[15/2012/0025],Joy,375 Ml.,Pet Bottle,55,4/2/2019,tCSDR/2019-2020/00001377/P,300,"15,832.00"
,,Bagjola C.S Shop[15/2012/0025],Joy,300 Ml.,Pet Bottle,50,4/2/2019,tCSDR/2019-2020/00001377/P,200,"9,595.00"
,,Bagjola C.S Shop[15/2012/0025],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00001377/P,3200,"2,30,280.00"
,,Bagmore F.L. Off Shop[26/2006/0162],Joy,375 Ml.,Pet Bottle,55,4/2/2019,tCSDR/2019-2020/00001316/P,450,"23,748.00"
,,Bagmore F.L. Off Shop[26/2006/0162],Joy,300 Ml.,Pet Bottle,50,4/2/2019,tCSDR/2019-2020/00001316/P,400,"19,190.00"
,,Bagmore F.L. Off Shop[26/2006/0162],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00001316/P,2000,"1,43,925.00"
,,Bajitpur Suppl CS Shop[06/2013/0015],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00001348/P,2600,"1,87,103.00"
,,Balagarh C S Shop[06/2006/0049],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00001485/P,3000,"2,15,888.00"
,,Balarampur FL On Shop[06/2006/0025],CAPTAIN NIMBOO,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00002380/P,100,"7,196.00"
,,Balarampur FL On Shop[06/2006/0025],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00002380/P,1400,"1,00,748.00"
,,Balarampur FL On Shop[06/2006/0025],Joy,300 Ml.,Pet Bottle,50,4/2/2019,tCSDR/2019-2020/00002380/P,200,"9,595.00"
,,Ballavpur C.S. Shop[06/2006/0234],Joy,375 Ml.,Pet Bottle,55,4/1/2019,tCSDR/2019-2020/00000629/P,600,"31,664.00"
,,Ballavpur C.S. Shop[06/2006/0234],Joy,300 Ml.,Pet Bottle,50,4/1/2019,tCSDR/2019-2020/00000629/P,200,"9,595.00"
,,Ballavpur C.S. Shop[06/2006/0234],Joy,600 Ml.,Pet Bottle,75,4/1/2019,tCSDR/2019-2020/00000629/P,2000,"1,43,925.00"
,,Ballavpur C.S. Shop[06/2006/0234],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004743/P,2000,"1,43,925.00"
,,Ballavpur FL Off Shop[06/2006/0250],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004754/P,5000,"3,59,813.00"
,,Bally Durgapur CS Shop[33/2007/0051],Joy,300 Ml.,Pet Bottle,50,4/2/2019,tCSDR/2019-2020/00001433/P,400,"19,190.00"
,,Bally Durgapur CS Shop[33/2007/0051],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00001433/P,4000,"2,87,850.00"
,,Bally Durgapur CS Shop[33/2007/0051],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00001433/P,3000,"2,15,888.00"
,,Bamangachi FL Off Shop[33/2007/0058],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00002369/P,1400,"1,00,748.00"
,,Bandar C.S[06/2006/0232],Joy,600 Ml.,Pet Bottle,75,4/1/2019,tCSDR/2018-2019/00692238/P,120,"8,636.00"
,,Bandar C.S[06/2006/0232],Joy,600 Ml.,Pet Bottle,75,4/1/2019,tCSDR/2018-2019/00692238/P,1680,"1,20,897.00"
,,Bandar C.S[06/2006/0232],Joy,300 Ml.,Pet Bottle,50,4/1/2019,tCSDR/2018-2019/00692238/P,80,"3,838.00"
,,Bandel C.S. Shop[06/2006/0182],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00002352/P,2000,"1,43,925.00"
,,Bandipur F.L. Off Shop[06/2006/0107],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004728/P,1000,"71,963.00"
,,Bandipur F.L. Off Shop[06/2006/0107],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004728/P,1000,"71,963.00"
,,Bangur F.L. Off Shop[27/2006/0155],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004766/P,1700,"1,22,336.00"
,,Bansberia C.S Shop[06/2006/0189],Joy,300 Ml.,Pet Bottle,50,4/2/2019,tCSDR/2019-2020/00001378/P,400,"19,190.00"
,,Bansberia C.S Shop[06/2006/0189],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00001378/P,4000,"2,87,850.00"
,,BEGAMPORE FL ON[06/2013/0083],CAPTAIN NIMBOO,600 Ml.,Pet Bottle,75,4/1/2019,tCSDR/2019-2020/00000633/P,20,"1,439.00"
,,BEGAMPORE FL ON[06/2013/0083],Joy,375 Ml.,Pet Bottle,55,4/1/2019,tCSDR/2019-2020/00000797/P,300,"15,832.00"
,,BEGAMPORE FL ON[06/2013/0083],Joy,300 Ml.,Pet Bottle,50,4/1/2019,tCSDR/2019-2020/00000797/P,240,"11,514.00"
,,BEGAMPORE FL ON[06/2013/0083],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00001303/P,2600,"1,87,103.00"
,,Begri F.L. On Shop[34/2012/0033],CAPTAIN NIMBOO,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004433/P,100,"7,196.00"
,,Begri F.L. On Shop[34/2012/0033],CAPTAIN ORANGE,300 Ml.,Pet Bottle,50,4/3/2019,tCSDR/2019-2020/00004433/P,40,"1,919.00"
,,Begri F.L. On Shop[34/2012/0033],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004433/P,100,"7,196.00"
,,Bhukta Restaurant Cum Bar[06/2012/0030],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004742/P,1000,"71,963.00"
,,Bilkanda C.S Shop[26/2012/0018],Joy,600 Ml.,Pet Bottle,75,4/1/2019,tCSDR/2019-2020/00000680/P,2700,"1,94,299.00"
,,BINODHBATI FL On Shop[06/2009/0003],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00001372/P,2000,"1,43,925.00"
,,BISHALAXMI RESTAURANT CUM BAR[06/2017/0016],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004739/P,1200,"86,355.00"
,,Bora CS Shop[06/2012/0029],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004736/P,800,"57,570.00"
,,Champadanga FL Off Shop[06/2006/0191],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004734/P,1000,"71,963.00"
,,Champadanga FL Off Shop-II[06/2006/0195],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004733/P,620,"44,617.00"
,,Chanditala FL Off Shop[06/2006/0123],Joy,300 Ml.,Pet Bottle,50,4/2/2019,tCSDR/2019-2020/00002339/P,400,"19,190.00"
,,Chanditala FL Off Shop[06/2006/0123],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00002339/P,3000,"2,15,888.00"
,,CHEERS WINE PVT LTD.[30/2006/0078],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00002404/P,1200,"86,355.00"
,,"CS Shop at 140, J N Mukherjee Road[33/2007/0010]",Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00002385/P,8000,"5,75,700.00"
,,D D Ghosal FL Off Shop[33/2007/0059],Joy,300 Ml.,Pet Bottle,50,4/2/2019,tCSDR/2019-2020/00002376/P,400,"19,190.00"
,,D D Ghosal FL Off Shop[33/2007/0059],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00002376/P,3600,"2,59,065.00"
,,Darbar Bar Cum Restaurant[34/2012/0025],CAPTAIN NIMBOO,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004166/P,100,"7,196.00"
,,Darbar Bar Cum Restaurant[34/2012/0025],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004166/P,1900,"1,36,729.00"
,,Dhaniakhali CS Shop[06/2006/0082],Joy,600 Ml.,Pet Bottle,75,4/3/2019,tCSDR/2019-2020/00004755/P,800,"57,570.00"
,,Dhaniakhali F L Off Shop[06/2006/0070],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00000695/P,4460,"3,20,953.00"
,,Dhaniakhali F L Off Shop[06/2006/0070],Joy,600 Ml.,Pet Bottle,75,4/2/2019,tCSDR/2019-2020/00000695/P,540,"38,860.00"
,,Dhaniakhali F L Off Shop[06/2006/0070],Joy,375 Ml.,Pet Bottle,55,4/2/2019,tCSDR/2019-2020/00001341/P,900,"47,495.00"
